city_name,dt,main_temp_min,main_temp_max,main_pressure,main_humidity,wind_speed
BIELSKO-BIAŁA,2019-05-14 20:38,4.44,7.22,1021,93,2.6
ZAKOPANE,2019-05-14 20:25,3,5,1019,93,2.1
KROSNO,2019-05-14 20:34,7.78,8,1020,93,4.6
JELENIA GÓRA,2019-05-14 20:38,2.78,7.78,1026,10,3.78
KŁODZKO,2019-05-14 20:33,2.22,7.22,1027,91,3.13
OPOLE,2019-05-14 20:36,7.81,7.81,1024.56,83,4.43
CZĘSTOCHOWA,2019-05-14 20:35,5.56,7.22,1022,93,5.1
KATOWICE,2019-05-14 20:31,5.56,7.22,1022,93,5.1
TARNÓW,2019-05-14 20:37,10,11.11,1032,43,4.6
ZAMOŚĆ,2019-05-14 20:00,9,9,1021,93,3.1
ZIELONA GÓRA,2019-05-14 20:33,8.89,11.11,1026,44,0.89
LEGNICA,2019-05-14 20:33,2.78,10,1026,70,3.6
LESZNO,2019-05-14 20:37,8.89,10.56,1027,43,5.1
WROCŁAW,2019-05-14 20:33,2.78,10,1026,70,3.6
KALISZ,2019-05-14 20:37,6.67,8.89,1041,58,2.68
WIELUŃ,2019-05-14 20:34,6.11,6.67,1024,90,1.79
ŁÓDŹ,2019-05-14 20:27,6.11,7,1024,87,4.1
POZNAŃ,2019-05-14 20:27,14.91,14.91,1018.23,87,2.84
PŁOCK,2019-05-14 20:36,7,7.78,1025,93,3.6
WARSZAWA,2019-05-14 20:37,6.67,9.44,1024,87,4.6
SIEDLCE,2019-05-14 20:37,7.22,9.44,1023,89,4.14
SZCZECIN,2019-05-14 20:25,8.89,9,1030,42,4.6
PIŁA,2019-05-14 20:30,27.22,29.44,1010,83,1
TORUŃ,2019-05-14 20:34,13.33,13.33,1016,88,0.89
MŁAWA,2019-05-14 20:33,8,9.44,1025,87,4.6
OLSZTYN,2019-05-14 20:00,8,8,1025,87,4.6
BIAŁYSTOK,2019-05-14 20:33,9.44,11.11,1028,79,4.41
KOSZALIN,2019-05-14 20:35,8.89,8.89,1029,50,5.99
ŁEBA,2019-05-14 20:38,13.01,13.01,1007.92,96,1.91
LĘBORK,2019-05-14 20:29,6.67,8.33,1029,56,6.7
ELBLĄG,2019-05-14 20:36,6.67,8.33,1029,56,6.7
SUWAŁKI,2019-05-14 20:28,8.89,9.44,1009,99,4.11
NOWY SĄCZ,2019-05-14 20:38,3,7.78,1019,93,2.1
ZGORZELEC,2019-05-14 20:38,3.33,11.11,1024,83,1.34
